//X;Y;Z;C2C absolute distances;Nx;Ny;Nz
393.50;152.19;41.74;0.20;-0.444455;-0.687491;0.574296
393.59;152.36;41.97;0.11;-0.306019;-0.761043;0.571984
393.41;152.63;41.95;0.20;-0.445127;-0.691864;0.568495
390.89;148.92;42.51;0.22;-0.164150;-0.585820;0.793643
390.74;148.08;42.15;0.25;0.202364;-0.240393;0.949347
391.17;147.45;41.75;0.23;0.101169;-0.491597;0.864926
391.17;147.08;41.51;0.23;0.207607;-0.504623;0.838007
394.05;150.49;40.43;0.23;-0.004100;-0.578126;0.815937
394.40;150.46;40.33;0.15;0.104824;-0.677664;0.727862
394.49;150.09;39.97;0.04;0.143556;-0.552025;0.821377
394.60;149.71;39.63;0.08;0.151646;-0.608087;0.779252
394.39;149.43;39.52;0.17;0.336682;-0.539658;0.771631
394.80;148.89;38.95;0.10;0.121931;-0.574397;0.809445
394.15;146.76;38.43;0.14;0.854061;-0.145029;0.499545
395.06;146.45;37.36;0.06;0.379900;-0.590407;0.712107
394.87;146.20;37.21;0.20;-0.563591;0.499661;-0.657803
395.27;146.26;37.04;0.17;0.376196;-0.589757;0.714608
397.80;145.10;33.07;0.16;0.607773;-0.463782;0.644607
397.57;144.91;33.33;0.16;-0.699100;0.512228;-0.498880
397.36;146.25;34.57;0.16;0.788887;-0.388797;0.475914
394.76;146.74;37.68;0.20;-0.550532;0.402628;-0.731304
394.99;148.16;38.47;0.16;0.214069;-0.574445;0.790055
394.93;148.63;38.81;0.15;0.145089;-0.605786;0.782287
394.64;149.35;39.37;0.12;0.172963;-0.554986;0.813679
394.75;150.09;39.78;0.08;0.094411;-0.599873;0.794505
394.12;150.32;40.17;0.23;0.161508;-0.596220;0.786407
394.20;150.97;40.74;0.25;-0.032421;-0.652652;0.756964
394.08;151.35;41.09;0.07;-0.143077;-0.661166;0.736470
393.93;151.15;40.87;0.20;-0.038078;-0.624758;0.779890
393.87;151.60;41.25;0.09;-0.133379;-0.663898;0.735833
393.29;153.46;42.67;0.13;-0.207673;-0.573793;0.792234
390.94;149.79;43.09;0.15;-0.073873;-0.475296;0.876719
390.72;149.98;43.17;0.22;-0.019854;-0.438103;0.898706
392.33;156.02;44.49;0.09;-0.441945;-0.521395;0.729953
390.56;154.28;45.26;0.22;-0.298780;-0.380679;0.875108
391.49;158.96;45.92;0.10;-0.583508;-0.463128;0.667106
391.11;161.07;46.72;0.09;0.806995;0.006851;-0.590518
403.43;150.11;27.66;0.21;0.924927;-0.187238;0.330834
409.29;157.33;20.43;0.17;0.725710;-0.223175;0.650798
408.35;156.62;22.36;0.15;0.648929;-0.290015;0.703407
405.26;154.24;27.69;0.11;0.143865;-0.420201;0.895954
408.36;157.49;22.50;0.11;0.621574;-0.236417;0.746828
405.17;157.71;29.48;0.09;0.312563;-0.401866;0.860702
409.55;162.03;21.74;0.17;0.744881;-0.239930;0.622564
408.36;162.03;24.29;0.22;0.584971;-0.148113;0.797416
407.04;161.01;26.95;0.20;0.580681;-0.256507;0.772667
405.04;160.31;30.67;0.13;0.479047;-0.309417;0.821447
408.72;166.89;25.01;0.07;0.539632;-0.087315;0.837361
405.46;168.53;31.60;0.14;0.416209;0.150179;0.896781
390.61;155.09;45.60;0.10;-0.086593;-0.339711;0.936535
391.35;193.07;41.32;0.17;0.386495;0.520218;0.761574
389.30;189.11;44.71;0.22;0.487442;0.415712;0.767844
389.27;188.62;45.01;0.18;0.580681;0.256507;0.772667
391.81;182.41;45.31;0.14;0.242372;0.426033;0.871637
401.46;190.37;30.76;0.21;0.838683;0.515768;0.174913
403.60;187.33;29.05;0.24;0.231788;0.385329;0.893194
390.60;164.61;47.46;0.22;-0.383390;-0.169604;0.907880
390.92;162.56;47.15;0.08;-0.600886;-0.267941;0.753089
405.81;175.28;30.50;0.15;0.592359;0.135099;0.794266
394.58;164.61;44.16;0.20;0.696003;0.489038;0.525758
396.27;166.17;42.98;0.10;0.071485;-0.395189;0.915814
405.88;175.58;30.39;0.24;0.625859;0.165178;0.762245
396.03;166.22;43.19;0.18;0.124882;-0.355433;0.926322
391.16;161.68;46.89;0.16;-0.783201;-0.379489;0.492528
390.99;162.27;47.12;0.17;-0.640587;-0.311419;0.701902
390.85;162.12;46.86;0.23;-0.474516;-0.454813;0.753644
390.83;163.18;47.21;0.22;-0.548139;-0.265431;0.793152
390.74;163.51;47.35;0.17;-0.536522;-0.275341;0.797703
390.75;163.96;47.47;0.09;-0.564402;-0.210690;0.798160
390.77;164.92;47.68;0.14;-0.492029;-0.157155;0.856277
404.23;186.61;28.97;0.13;0.823921;0.201807;0.529555
395.91;178.44;42.58;0.07;0.531844;0.114484;0.839068
403.60;192.21;26.05;0.08;-0.408215;0.526253;0.745935
393.03;184.04;43.78;0.08;0.358107;0.489787;0.794901
400.37;180.81;36.75;0.22;0.984336;0.052921;0.168172
389.69;188.60;44.83;0.08;0.846837;0.083972;0.525181
388.70;186.78;46.17;0.21;0.750244;-0.020957;0.660829
392.22;193.09;40.48;0.13;0.652597;0.330367;0.681891
390.59;165.17;47.63;0.22;-0.385365;-0.160687;0.908666
390.05;155.70;46.01;0.24;-0.290981;-0.471483;0.832487
