//X;Y;Z;C2C absolute distances;Nx;Ny;Nz
402.59;195.87;23.53;1.58;0.356142;0.557793;0.749687
404.55;188.75;26.25;0.32;0.730075;0.268808;0.628278
403.12;193.89;24.81;0.31;-0.116039;0.591944;0.797582
403.02;194.13;24.57;0.31;-0.052586;0.626773;0.777426
402.81;194.26;24.28;0.55;0.342582;0.592618;0.729001
404.64;186.82;25.20;1.23;0.878154;0.458480;0.136538
403.02;193.52;24.88;0.39;0.310222;0.450524;0.837132
404.21;188.73;26.66;0.40;0.815966;-0.456496;-0.354699
402.39;194.59;24.43;0.73;0.739605;0.436515;0.512288
404.48;186.97;26.13;0.96;0.928082;0.357373;0.104630
404.35;187.89;26.66;0.57;0.650286;0.739031;0.175960
403.01;192.58;25.45;0.55;0.625759;0.548171;0.554918
402.89;192.94;25.25;0.61;0.568722;0.545096;0.615975
402.82;193.08;24.98;0.69;0.601359;0.493552;0.628310
402.29;194.87;24.43;0.81;0.785828;0.400205;0.471497
402.00;196.21;24.61;1.67;0.897675;0.313073;0.310106
402.71;193.50;25.01;0.62;0.592765;0.452505;0.666235
403.09;192.29;25.53;0.58;0.473517;0.722736;0.503423
403.30;191.65;25.83;0.50;0.376603;0.330488;0.865418
404.45;187.08;25.84;1.09;0.913763;0.368063;0.171952
404.31;188.21;26.52;0.54;0.277381;0.297713;0.913470
404.59;186.82;25.82;1.03;0.912381;0.368653;0.177921
404.45;187.98;26.37;0.56;0.372168;0.524935;0.765463
403.18;192.24;25.24;0.62;0.947954;0.285593;-0.140785
404.65;186.75;25.51;1.12;0.889090;0.426474;0.166253
403.21;191.84;24.63;1.00;0.877525;0.244507;0.412512
404.61;187.81;26.02;0.66;-0.189158;-0.283047;0.940268
402.78;194.54;24.10;0.53;0.298184;0.572450;0.763798
405.25;185.92;24.22;1.36;0.811267;-0.341336;0.474695
402.78;195.34;23.69;1.03;0.023534;0.574511;0.818159
405.87;187.14;22.87;1.00;0.755613;-0.104578;0.646616
405.94;186.49;22.59;1.25;0.793876;-0.204227;0.572758
402.90;196.05;23.43;1.68;-0.052312;0.583914;0.810128
403.11;193.92;22.75;0.99;0.583113;0.495730;0.643608
405.53;187.56;23.73;0.83;0.958613;0.015997;0.284261
405.66;186.82;23.07;1.20;0.768678;-0.110654;0.629992
405.51;188.21;23.75;0.66;0.942026;0.316681;-0.110905
405.55;187.98;23.54;0.76;0.947992;0.044656;0.315147
402.79;193.93;24.57;0.59;0.473381;0.513244;0.715885
404.84;186.62;24.97;1.20;0.806995;0.325017;0.493075
401.18;195.25;26.86;0.40;0.696337;0.440404;0.566709
401.01;195.11;27.07;0.42;0.635499;0.428670;0.642171
402.95;190.06;27.39;0.66;-0.084732;0.570146;0.817162
402.51;189.42;27.77;1.07;0.527678;0.497525;0.688494
403.53;187.56;28.85;0.31;0.204651;0.381725;0.901335
402.53;189.02;28.10;1.04;0.554014;0.380782;0.740320
400.98;192.24;29.21;0.61;0.730063;0.420239;0.538895
403.41;186.01;29.73;0.43;0.073185;0.448774;0.890644
402.65;186.99;29.07;1.09;0.212356;0.480437;0.850932
402.31;187.87;29.41;0.97;0.817745;0.235621;0.525143
400.61;190.76;30.92;0.58;0.669415;0.538552;0.511708
400.36;189.75;32.02;0.57;0.716296;0.453709;0.530159
402.61;184.16;30.88;1.01;0.703784;0.272896;0.655908
397.27;195.05;32.89;0.41;0.142043;0.776005;0.614524
400.75;187.92;32.73;0.49;0.808738;0.281095;0.516650
400.30;188.83;32.89;0.47;0.735111;0.374923;0.564840
400.72;187.40;33.13;0.44;0.822215;0.276152;0.497697
396.17;195.43;33.28;1.09;0.805047;0.328688;0.493826
401.77;180.67;32.68;1.49;0.786315;0.214731;0.579309
401.63;180.94;32.72;1.54;0.822302;0.218974;0.525232
402.62;176.80;32.98;1.20;0.682834;0.182601;0.707386
401.95;177.37;33.44;1.43;0.806826;0.154180;0.570316
394.01;188.81;40.08;0.65;0.332595;0.618139;0.712239
394.44;188.09;40.60;0.27;0.152435;0.650488;0.744062
391.80;191.65;41.35;0.27;0.803137;0.067047;0.592010
389.49;191.69;42.77;0.61;-0.047079;0.720445;0.691912
387.22;194.52;42.36;1.19;0.771540;0.263491;0.579049
387.89;193.20;42.40;1.22;0.484933;0.442193;0.754523
389.53;190.90;43.55;0.36;0.004142;0.658597;0.752485
390.55;187.58;42.92;1.24;0.740918;0.120269;0.660739
390.52;187.78;43.15;1.05;0.781190;0.055494;0.621822
388.00;191.35;43.49;1.05;0.451495;0.477764;0.753587
404.43;160.98;31.36;0.30;0.655900;-0.265219;0.706721
389.05;190.18;44.23;0.39;0.018057;0.626455;0.779249
391.75;185.63;43.59;0.55;0.336903;0.496573;0.799945
385.47;193.98;43.82;1.94;0.519859;0.430741;0.737705
391.12;186.17;43.49;0.90;0.405960;0.500521;0.764640
401.80;166.00;34.61;1.23;0.825240;-0.133862;0.548689
386.38;192.39;44.28;1.09;0.736517;0.335075;0.587595
392.24;184.48;43.97;0.29;0.388992;0.469695;0.792510
391.73;184.96;43.72;0.68;0.349340;0.441021;0.826718
387.49;190.64;44.10;1.17;0.630701;0.362039;0.686399
385.47;193.30;44.20;1.82;0.543278;0.417779;0.728224
385.46;193.01;44.34;1.82;0.479521;0.404749;0.778613
387.33;190.53;44.40;1.08;0.635415;0.351193;0.687685
391.99;184.34;44.13;0.39;0.346441;0.490126;0.799847
388.43;189.23;45.01;0.45;-0.006883;0.618111;0.786061
402.27;164.22;33.93;1.07;0.718379;-0.117499;0.685658
400.33;168.42;36.76;1.20;0.768466;0.067510;0.636319
389.36;187.63;45.16;0.30;0.854457;-0.060134;0.516030
389.93;185.73;44.15;1.28;0.564868;0.305637;0.766492
388.10;188.54;45.50;0.49;-0.138856;0.616638;0.774904
387.32;188.89;45.19;1.04;0.265376;0.452521;0.851352
386.52;190.03;45.45;0.96;0.195134;0.603839;0.772853
404.81;156.26;28.84;0.33;0.425725;-0.365586;0.827711
386.68;189.44;45.56;0.96;0.760819;0.049773;0.647052
394.92;175.88;43.60;0.34;0.310302;0.252571;0.916472
388.82;184.00;45.97;0.97;0.502685;0.297829;0.811545
401.32;160.29;34.15;1.19;0.876011;-0.082695;0.475148
388.96;182.56;46.50;1.38;0.422781;0.228570;0.876933
388.74;182.85;46.55;1.23;0.474261;0.267255;0.838839
386.84;185.57;47.25;0.73;0.286829;0.367921;0.884513
389.94;180.00;47.03;0.97;0.111900;0.385435;0.915925
389.98;179.13;47.12;0.84;0.387220;0.296110;0.873144
389.26;180.10;47.28;1.70;0.176042;0.385002;0.905971
389.26;176.60;48.39;1.81;0.418405;0.224837;0.879992
390.06;152.02;44.46;0.32;0.080697;-0.270271;0.959397
389.75;145.83;41.49;1.33;0.438101;-0.374377;0.817257
387.43;146.31;43.38;0.61;0.654738;-0.377670;0.654738
390.12;153.38;44.81;0.44;0.276687;-0.341790;0.898123
388.93;155.01;46.03;0.65;0.620759;-0.175399;0.764129
389.24;156.29;46.04;1.16;0.585469;-0.335712;0.737918
389.10;160.20;47.25;1.75;-0.103551;-0.401776;0.909864
389.35;162.09;48.30;1.79;-0.438629;-0.226051;0.869773
389.67;178.14;47.94;1.34;0.329665;0.209787;0.920494
399.56;167.79;37.74;1.17;0.794746;-0.049583;0.604914
403.84;165.54;32.48;0.68;0.585982;-0.100329;0.804089
401.95;169.27;34.49;1.30;0.812411;0.060966;0.579889
386.27;186.97;47.02;1.05;0.267225;0.441303;0.856646
404.43;167.18;32.32;0.39;0.456171;-0.022742;0.889601
401.97;169.97;34.42;1.34;0.830587;-0.001355;0.556887
403.40;169.06;32.98;0.94;0.712567;0.018199;0.701368
403.61;169.56;32.78;0.87;0.677445;0.044027;0.734254
405.14;168.66;31.87;0.26;0.357949;0.122059;0.925729
390.32;185.27;44.46;0.94;0.330430;0.466397;0.820542
405.14;171.49;31.56;0.27;0.508210;0.120175;0.852808
404.99;172.32;31.56;0.35;0.544116;0.090447;0.834120
391.89;188.77;41.74;0.90;0.593096;0.215249;0.775825
386.52;195.29;42.51;1.85;0.133527;0.538508;0.831973
405.00;178.14;30.55;0.38;0.413621;0.191464;0.890089
402.14;181.50;32.31;1.23;0.664814;0.226819;0.711742
403.47;184.95;30.32;0.39;0.168214;0.326696;0.930040
386.77;194.88;42.74;1.40;0.433157;0.439646;0.786820
385.99;194.89;42.94;1.85;0.541812;0.366089;0.756584
404.70;185.96;28.02;0.27;0.942008;0.125332;0.311307
403.81;184.11;30.33;0.34;0.675370;0.142896;0.723503
388.08;189.84;44.51;0.81;0.031962;0.565590;0.824067
390.54;188.11;42.94;1.08;0.805020;0.035001;0.592215
386.51;189.19;45.71;1.04;0.733196;0.129915;0.667492
385.44;189.51;46.32;1.83;0.467132;0.316140;0.825738
386.06;188.83;46.19;1.30;0.385629;0.321101;0.864976
386.92;187.11;46.57;0.79;0.594725;0.651685;0.470754
403.19;182.68;31.04;0.78;0.375080;0.287712;0.881213
390.33;181.15;46.58;0.56;0.241046;0.456319;0.856545
403.82;178.34;31.32;0.88;0.750049;0.067663;0.657912
